POSCAR_FILE, formular, ion_conv, ele_conv, final_energy, out_dir
./str/POSCAR_S_maetcfwu.vasp, Ti1 V3 Cu2, True, True, -41.70857993 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_YMJQLR
./str/POSCAR_S_arrhsi3v.vasp, Ti1 V1 Cu4, False, True, -31.56079316 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_M9MM4S
./str/POSCAR_S_uwj0nr5j.vasp, Ti3 V2 Cu1, True, True, -44.57384975 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_YICTHI
./str/POSCAR_S_ldwz6u6s.vasp, Ti2 V2 Cu2, True, True, -40.30492921 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_RFAIIR
./str/POSCAR_S_6dfqn8ki.vasp, Ti3 V1 Cu2, True, True, -38.90423028 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_JFCR8D
./str/POSCAR_S_gvdrlpzh.vasp, Ti3 V1 Cu2, True, True, -38.97431933 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_IAS3XH
./str/POSCAR_S__l4c9ya0.vasp, Ti3 V2 Cu1, True, True, -44.41532872 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_T2KA06
./str/POSCAR_S_f_qxwvii.vasp, Ti2 V2 Cu2, True, True, -40.18617035 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_0MLIFQ
./str/POSCAR_S_9822opdb.vasp, Ti1 V2 Cu1, True, True, -28.86948143 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_V9MS97
./str/POSCAR_S_u0sx1k5x.vasp, Ti3 V1 Cu1, True, True, -35.69882658 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_5A74ZV
./str/POSCAR_S_oppj21ux.vasp, Ti1 V3 Cu1, True, True, -38.23988485 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_KJIRC7
